product_id;product_name;prezzoAcquisto;id;category;price;cost;costoproduzione_foodbev;costoproduzione_materiali;costoproduzione_extra;costoproduzione_personale;costoproduzione_struttura;costoproduzione_consumi
64;4 STAGIONI;2,25;64;6;7,5;0,75;0,375;0,15;0,225;1,125;0,375;0,75
640;FLAN;2,1;659;18;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
641;PESCHE;1,05;660;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
642;CATALANA;1,05;661;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
643;FAGOTTINO;1,05;662;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
644;RICOTTA;1,05;663;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
65;4 FORMAGGI;2,25;65;6;7,5;0,75;0,375;0,15;0,225;1,125;0,375;0,75
66;RUSTICA;2,1;66;6;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
660;SOUFFLE;1,05;679;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
661;1000 FOGLIE;1,05;680;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
662;OPEN 25CL;1,2;703;9;4;0,4;0,2;0,08;0,12;0,6;0,2;0,4
663;SUPER 25CL;1,2;704;9;4;0,4;0,2;0,08;0,12;0,6;0,2;0,4
664;URGENTE;0;705;12;0;0;0;0;0;0;0;0
665;GRANT'S;1,05;706;11;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
666;GLEN;1,05;707;11;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
668;KAORI;1,95;709;6;6,5;0,65;0,325;0,13;0,195;0,975;0,325;0,65
669;LIGURE;1,95;710;6;6,5;0,65;0,325;0,13;0,195;0,975;0,325;0,65
67;WURSTEL;1,5;67;6;5;0,5;0,25;0,1;0,15;0,75;0,25;0,5
670;VECCHIA LOCANDA;2,1;711;6;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
671;MEDITERRANEA;2,25;712;6;7,5;0,75;0,375;0,15;0,225;1,125;0,375;0,75
672;UNO 1;1,8;713;9;6;0,6;0,3;0,12;0,18;0,9;0,3;0,6
673;GILDA;1,95;714;9;6,5;0,65;0,325;0,13;0,195;0,975;0,325;0,65
674;MOLTO MALTO;1,95;715;9;6,5;0,65;0,325;0,13;0,195;0,975;0,325;0,65
675;SALVIA;0;716;19;0;0;0;0;0;0;0;0
676;VONGOLE;0;717;19;0;0;0;0;0;0;0;0
677;PHILADELPHIA;0;718;12;0;0;0;0;0;0;0;0
678;PESTO;0;719;12;0;0;0;0;0;0;0;0
679;OLIVE LIGURI;0,15;720;12;0,5;0,05;0,025;0,01;0,015;0,075;0,025;0,05
68;PORCINI;2,1;68;6;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
680;SALSICCIA PICCANTE;0;721;12;0;0;0;0;0;0;0;0
681;SPADA;0;722;12;0;0;0;0;0;0;0;0
683;COZZE;2,25;724;3;7,5;0,75;0,375;0,15;0,225;1,125;0,375;0,75
684;LACRIMA ROSA;3,6;725;16;12;1,2;0,6;0,24;0,36;1,8;0,6;1,2
685;LAGREIN ROSE;3,9;726;16;13;1,3;0,65;0,26;0,39;1,95;0,65;1,3
686;LUMERA ROSE;3,9;727;16;13;1,3;0,65;0,26;0,39;1,95;0,65;1,3
687;PINOT BIANCO;4,05;728;16;13,5;1,35;0,675;0,27;0,405;2,025;0,675;1,35
688;GRECO DI TUFO;4,8;729;16;16;1,6;0,8;0,32;0,48;2,4;0,8;1,6
689;FALANGHINA;4,05;730;16;13,5;1,35;0,675;0,27;0,405;2,025;0,675;1,35
69;STRACCH. E RUC.;1,8;69;6;6;0,6;0,3;0,12;0,18;0,9;0,3;0,6
690;ETNA BIANCO;3,75;731;16;12,5;1,25;0,625;0,25;0,375;1,875;0,625;1,25
691;CHIARAMONTE;3,6;732;16;12;1,2;0,6;0,24;0,36;1,8;0,6;1,2
692;BAROLO;8,4;733;15;28;2,8;1,4;0,56;0,84;4,2;1,4;2,8
693;RUIT HORA;5,7;734;15;19;1,9;0,95;0,38;0,57;2,85;0,95;1,9
694;ETNA ROSSO;3,9;735;15;13;1,3;0,65;0,26;0,39;1,95;0,65;1,3
